#F nifilm-tof-3.dat
#D 2011-01-20 19:33:56
#C Title: Simulated 100 A Ni film
#C Detector Angle: (1.5, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
2.203739022763429381e-02 1.941100778012665108e-04 2.016768058892694782e-01 3.519867294344402892e-03 1.492686886204714014e+01
2.247813803218698045e-02 1.979922793572918270e-04 1.937558344570065316e-01 3.463451487454457644e-03 1.463418515886974447e+01
2.292770079283071999e-02 2.019521249444376700e-04 1.815985715786156973e-01 3.356873010226256709e-03 1.434724035183308111e+01
2.338625480868733453e-02 2.059911674433264435e-04 1.722376216098701063e-01 3.312643709073304944e-03 1.406592191356184429e+01
2.385397990486108274e-02 2.101109907921929788e-04 1.639452416295563153e-01 3.239002410399904105e-03 1.379011952309984679e+01
2.433105950295830211e-02 2.143132106080367809e-04 1.574180895246884981e-01 3.241887966679785418e-03 1.351972502264690945e+01
2.481768069301747148e-02 2.185994748201975767e-04 1.430012779982511584e-01 3.315748994955825500e-03 1.325463237514402870e+01
2.531403430687782091e-02 2.229714643166015012e-04 1.379711334564607816e-01 3.277184603218671454e-03 1.299473762269022359e+01
2.582031499301538219e-02 2.274308936029336564e-04 1.325418315628688337e-01 3.228324109942428289e-03 1.273993884577472713e+01
2.633672129287568942e-02 2.319795114749922385e-04 1.224998220513915520e-01 3.128514434408871062e-03 1.249013612330855594e+01
2.686345571873320279e-02 2.366191017044920832e-04 1.224399587446589055e-01 3.181919765856743975e-03 1.224523149343976058e+01
2.740072483310786525e-02 2.413514837385819336e-04 1.125786763303452259e-01 2.443844172962773148e-03 1.200512891513702129e+01
2.794873932977002054e-02 2.461785134133536064e-04 1.038243821620875307e-01 1.988888473663944726e-03 1.176973423052649181e+01
2.850771411636542074e-02 2.511020836816206156e-04 9.495685386900551417e-02 1.917576396102232874e-03 1.153895512796714939e+01
2.907786839869273138e-02 2.561241253552531310e-04 9.092218501314321133e-02 1.889887965922123136e-03 1.131270110585014521e+01
2.965942576666658753e-02 2.612466078623580765e-04 8.318210436650494422e-02 1.826735905918847221e-03 1.109088343710798519e+01
3.025261428199991706e-02 2.664715400196053714e-04 8.181066245582374608e-02 1.824131288322619572e-03 1.087341513441959329e+01
3.085766656763992005e-02 2.718009708199974647e-04 7.438115837539052699e-02 1.549411621476561073e-03 1.066021091609763971e+01
3.147481989899271471e-02 2.772369902363973695e-04 6.982687551525144920e-02 1.432771812331791895e-03 1.045118717264474562e+01
3.210431629697257233e-02 2.827817300411253863e-04 6.264999720935424121e-02 1.363038132972194897e-03 1.024626193396543528e+01
3.274640262291202142e-02 2.884373646419478789e-04 6.105714285714285844e-02 1.360515842833365675e-03 1.004535483722101574e+01
3.340133067537026657e-02 2.942061119347868332e-04 5.375227213710724594e-02 1.278379098826058725e-03 9.848387095314720341e+00
3.406935728887766635e-02 3.000902341734824528e-04 5.217000897934750275e-02 1.281784976981313563e-03 9.655281465994825396e+00
3.475074443465522162e-02 3.060920388569521571e-04 4.565005584468049410e-02 1.065052002375761623e-03 9.465962221563554380e+00
3.544575932334832757e-02 3.122138796340911938e-04 4.179919297412770102e-02 1.016670511857182191e-03 9.280355119179954926e+00
3.615467450981530578e-02 3.184581572267730838e-04 4.019043936391319266e-02 1.005155048329466495e-03 9.098387371745051411e+00
3.687776800001160704e-02 3.248273203713086094e-04 3.553250042619517102e-02 9.466294053195415401e-04 8.919987619357893749e+00
3.761532336001183890e-02 3.313238667787347914e-04 3.263123703870274284e-02 9.175602239607092347e-04 8.745085901331268730e+00
3.836762982721207693e-02 3.379503441143094232e-04 2.884762147036377608e-02 8.689184371629179440e-04 8.573613628756145744e+00
3.913498242375632041e-02 3.447093509965957299e-04 2.740813174043053857e-02 6.317171939891876248e-04 8.405503557604063758e+00
3.991768207223144599e-02 3.516035380165275165e-04 2.440460800367720909e-02 5.992539542839830013e-04 8.240689762356925741e+00
