#F nifilm-tof-3.dat
#D 2011-01-20 19:33:56
#C Title: Simulated 100 A Ni film
#C Detector Angle: (1.5, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
4.071603571367606728e-02 3.586356087768580777e-04 2.145648415822885846e-02 5.642586786173335416e-04 8.079107610153849706e+00
4.153035642794959681e-02 3.658083209523952674e-04 1.916971365804481103e-02 5.421933248069434443e-04 7.920693735444949368e+00
4.236096355650858375e-02 3.731244873714431847e-04 1.667147915685171858e-02 5.075293242926272015e-04 7.765386015142107468e+00
4.320818282763876084e-02 3.805869771188720115e-04 1.483876957355944812e-02 4.827109074178197764e-04 7.613123544256968245e+00
4.407234648419153938e-02 3.881987166612494680e-04 1.347007500382672515e-02 3.732402857107566460e-04 7.463846612016634907e+00
4.495379341387537031e-02 3.959626909944745040e-04 1.180284527256703943e-02 3.539634348247115009e-04 7.317496678447681369e+00
4.585286928215287494e-02 4.038819448143639301e-04 9.824888305418510298e-03 3.240982371211905072e-04 7.174016351419295390e+00
4.676992666779593300e-02 4.119595837106512564e-04 9.351465568618952048e-03 3.198125412094913328e-04 7.033349364136563864e+00
4.770532520115185887e-02 4.201987753848643249e-04 7.876545398147737423e-03 2.965545894320167930e-04 6.895440553075061985e+00
4.865943170517489369e-02 4.286027508925615496e-04 6.732636641080181304e-03 2.503666974438662450e-04 6.760235836348099880e+00
4.963262033927839240e-02 4.371748059104127579e-04 5.505869804916367106e-03 1.997429977089449065e-04 6.627682192498137503e+00
5.062527274606395955e-02 4.459183020286211431e-04 4.290297892381961936e-03 1.780667385190092379e-04 6.497727639704056202e+00
5.163777820098523763e-02 4.548366680691934652e-04 3.719123371001377583e-03 1.676421453287842904e-04 6.370321215396133496e+00
5.267053376500493989e-02 4.639334014305772878e-04 3.485229994472763097e-03 1.638547398760737718e-04 6.245412956270719462e+00
5.372394444030503813e-02 4.732120694591889247e-04 2.435331033298468364e-03 1.380412516583596669e-04 6.122953878696783647e+00
5.479842332911114000e-02 4.826763108483727834e-04 2.006557709106100620e-03 1.128125212694048142e-04 6.002895959506650669e+00
5.589439179569336696e-02 4.923298370653402282e-04 1.568915854630140248e-03 8.012618369696995996e-05 5.885192117163382974e+00
5.701227963160723777e-02 5.021764338066469742e-04 1.059115244198748258e-03 6.635948257808382302e-05 5.769796193297433540e+00
5.815252522423938059e-02 5.122199624827800633e-04 8.160108121432608878e-04 5.891453050239485342e-05 5.656662934605327209e+00
5.931557572872417361e-02 5.224643617324356082e-04 6.858089310438528988e-04 5.440683278177949051e-05 5.545747975103261673e+00
6.050188724329865625e-02 5.329136489670841578e-04 4.121487418501970884e-04 4.251865619413298177e-05 5.437007818728687880e+00
6.171192498816462785e-02 5.435719219464259580e-04 2.581655998789292241e-04 2.768183012583346150e-05 5.330399822283027333e+00
6.294616348792791971e-02 5.544433603853546463e-04 1.894168158209709224e-04 2.280526450490529949e-05 5.225882178708850745e+00
6.420508675768649143e-02 5.655322275930616850e-04 6.722764400721577228e-05 1.372324663644193556e-05 5.123413900694950840e+00
6.548918849284021682e-02 5.768428721449229491e-04 3.995502206088003873e-05 1.067864214292774281e-05 5.022954804602893120e+00
6.679897226269702892e-02 5.883797295878214579e-04 2.042096357775282015e-05 7.718477545173379228e-06 4.924465494708718083e+00
6.813495170795096090e-02 6.001473241795776984e-04 4.988650819385897313e-05 1.175865603270394656e-05 4.827907347753646050e+00
6.949765074210997873e-02 6.121502706631692849e-04 7.397118411427726413e-05 1.232898665528748681e-05 4.733242497797691684e+00
7.088760375695218885e-02 6.243932760764327617e-04 1.109097529432937239e-04 1.523547102259146721e-05 4.640433821370285372e+00
7.230535583209123096e-02 6.368811415979613866e-04 1.692874071597858746e-04 1.904793344041708279e-05 4.549444922912044831e+00
7.375146294873305419e-02 6.496187644299206490e-04 2.334735629374901805e-04 2.257337593383304631e-05 4.460240120502004579e+00
7.522649220770771805e-02 6.626111397185189969e-04 2.913752913752913750e-04 2.546128599292817412e-05 4.372784431864710442e+00
7.673102205186187186e-02 6.758633625128894614e-04 3.226860634561116016e-04 2.575730626087777698e-05 4.287043560651676799e+00
7.826564249289912067e-02 6.893806297631475174e-04 4.270022094426250293e-04 2.361831706105263086e-05 4.202983882991839337e+00
7.983095534275710947e-02 7.031682423584102509e-04 4.453685657536832904e-04 2.433850211996526239e-05 4.120572434305724840e+00
8.142757444961223889e-02 7.172316072055784928e-04 4.892886558425142435e-04 2.579408449078830513e-05 4.039776896378161730e+00
8.305612593860449422e-02 7.315762393496899737e-04 5.021918872426613155e-04 2.640124634723646391e-05 3.960565584684472284e+00
8.471724845737657605e-02 7.462077641366839749e-04 4.611117318988892564e-04 2.554450421300629250e-05 3.882907435965169185e+00
8.641159342652411646e-02 7.611319194194175134e-04 5.558268376346614352e-04 2.589463015669144901e-05 3.806771996044282957e+00
8.813982529505459684e-02 7.763545578078060632e-04 5.802030596270221253e-04 2.577519668407472734e-05 3.732129407886552119e+00
8.990262180095567879e-02 7.918816489639621346e-04 5.075137645648301931e-04 2.431166809644295332e-05 3.658950399888776683e+00
9.170067423697479680e-02 8.077192819432412515e-04 5.283485723309195182e-04 2.505274003529218098e-05 3.587206274400761341e+00
9.353468772171430468e-02 8.238736675821061632e-04 4.533338828289488792e-04 2.344664980096902298e-05 3.516868896471334605e+00
9.540538147614857634e-02 8.403511409337483190e-04 4.089853210102308229e-04 2.248446280360372559e-05 3.447910682815034100e+00
9.731348910567157173e-02 8.571581637524231965e-04 4.848193063821793327e-04 2.335858454965557304e-05 3.380304590995130809e+00
9.925975888778500178e-02 8.743013270274716886e-04 3.914168212340165078e-04 1.735264063812250290e-05 3.314024108818755643e+00
1.012449540655406960e-01 8.917873535680211116e-04 3.275901619253817395e-04 1.604478666023027394e-05 3.249043243939956582e+00
1.032698531468515118e-01 9.096231006393815143e-04 2.759454731745007087e-04 1.485845450865145628e-05 3.185336513666624292e+00
1.053352502097885390e-01 9.278155626521693419e-04 2.598310934476808268e-04 1.457249702233939278e-05 3.122878934967278752e+00
1.074419552139843220e-01 9.463718739052126225e-04 1.849352726545709083e-04 1.241319046567927769e-05 3.061646014673802263e+00
1.095907943182640176e-01 9.652993113833170007e-04 1.657772737349041373e-04 1.032169769915656813e-05 3.001613739876276554e+00
1.117826102046292902e-01 9.846052976109831087e-04 1.111252323890456060e-04 8.424850194346252636e-06 2.942758568506153694e+00
1.140182624087218710e-01 1.004297403563202953e-03 7.962183543994000843e-05 7.208909248985510349e-06 2.885057420104072179e+00
1.162986276568963168e-01 1.024383351634467225e-03 6.717212024474593650e-05 6.684100260162054954e-06 2.828487666768698006e+00
1.186246002100342506e-01 1.044871018667156530e-03 3.523484020999964692e-05 4.886279275972814389e-06 2.773027124283037104e+00
1.209970922142349359e-01 1.065768439040499626e-03 2.482320362749748904e-05 4.137251953550783025e-06 2.718654043414742372e+00
1.234170340585196285e-01 1.087083807821309384e-03 8.522578975010733609e-06 2.130653823027386781e-06 2.665347101387002482e+00
1.258853747396900258e-01 1.108825483977735841e-03 3.798983826097716213e-06 1.435883647243205988e-06 2.613085393516668908e+00
1.284030822344838230e-01 1.131001993657290532e-03 4.979211790773520973e-06 1.659741395677706286e-06 2.561848425016342023e+00
1.309711438791735238e-01 1.153622033530436221e-03 1.692322272314961564e-06 9.770635462287931688e-07 2.511616102957197949e+00
1.335905667567569843e-01 1.176694474201045448e-03 5.753339382010803444e-06 1.819370893616494166e-06 2.462368728389409789e+00
1.362623780918921224e-01 1.200228363685066019e-03 1.578517726754071607e-05 2.983141648072755219e-06 2.414086988617068386e+00
1.389876256537299626e-01 1.224232930958767118e-03 2.396391470153489038e-05 3.612739358414231712e-06 2.366751949624577023e+00
1.417673781668045974e-01 1.248717589577943207e-03 3.056893795728352059e-05 4.121977754086302566e-06 2.320345048651545561e+00
1.446027257301406854e-01 1.273691941369501854e-03 2.999756623519223939e-05 4.120544416915770467e-06 2.274848086913280110e+00
1.474947802447434952e-01 1.299165780196891813e-03 4.622161415120939072e-05 5.167852992706892879e-06 2.230243222463999864e+00
1.504446758496383596e-01 1.325149095800829367e-03 5.018159834884830550e-05 5.443095118410473756e-06 2.186512963200000215e+00
1.534535693666310985e-01 1.351652077716845824e-03 4.190738467985751799e-05 5.279944819434578830e-06 2.143640160000000350e+00
1.565226407539637432e-01 1.378685119271183144e-03 3.731046459976079024e-05 5.125082065531882392e-06 2.101608000000000143e+00
1.596530935690430308e-01 1.406258821656606759e-03 4.458157673531990082e-05 5.661992113302469365e-06 2.060400000000000009e+00
1.628461554404238842e-01 1.434383998089738908e-03 2.854718960238156823e-05 4.571274014469184824e-06 2.020000000000000018e+00
