#F nifilm-tof-2.dat
#D 2011-01-20 19:33:56
#C Title: Simulated 100 A Ni film
#C Detector Angle: (0.7, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
1.028503443759715488e-02 9.059423206641879593e-05 9.368836291913215097e-01 5.982608858533344093e-02 1.492686886204714014e+01
1.049073512634909715e-02 9.240611670774719489e-05 8.866396761133603643e-01 5.819083486156702290e-02 1.463418515886974447e+01
1.070054982887608079e-02 9.425423904190212659e-05 8.263598326359832269e-01 5.619062008767247707e-02 1.434724035183308111e+01
1.091456082545360327e-02 9.613932382274017021e-05 8.154506437768240801e-01 5.636351961867199639e-02 1.406592191356184429e+01
1.113285204196267503e-02 9.806211029919499991e-05 6.962524654832347171e-01 4.826414747316148945e-02 1.379011952309984679e+01
1.135550908280192825e-02 1.000233525051788834e-04 7.217573221757321855e-01 5.098795809698222076e-02 1.351972502264690945e+01
1.158261926445796654e-02 1.020238195552824665e-04 7.826086956521739468e-01 6.359028879834346948e-02 1.325463237514402870e+01
1.181427164974712708e-02 1.040642959463881082e-04 7.067039106145250882e-01 5.804386532076740574e-02 1.299473762269022359e+01
1.205055708274207008e-02 1.061455818653159200e-04 7.010869565217391353e-01 5.692791678590829185e-02 1.273993884577472713e+01
1.229156822439691175e-02 1.082684935026222048e-04 6.310160427807486316e-01 5.245821584045950309e-02 1.249013612330855594e+01
1.253739958888485002e-02 1.104338633726746545e-04 6.908077994428969415e-01 5.703986816678993654e-02 1.224523149343976058e+01
1.278814758066254553e-02 1.126425406401281487e-04 6.314814814814815325e-01 4.367918274688942920e-02 1.200512891513702129e+01
1.304391053227579693e-02 1.148953914529307022e-04 6.115214180206794969e-01 3.815307469772592774e-02 1.176973423052649181e+01
1.330478874292131269e-02 1.171932992819892881e-04 5.846994535519125513e-01 3.557822337995628081e-02 1.153895512796714939e+01
1.357088451777973930e-02 1.195371652676291082e-04 5.212464589235127344e-01 3.351343922775246870e-02 1.131270110585014521e+01
1.384230220813533439e-02 1.219279085729816888e-04 5.027855153203342198e-01 3.243976182503498923e-02 1.109088343710798519e+01
1.411914825229804160e-02 1.243664667444413768e-04 5.503649635036496068e-01 3.529369076918681403e-02 1.087341513441959329e+01
1.440153121734400431e-02 1.268537960793301826e-04 5.175438596491228616e-01 3.137204002172722106e-02 1.066021091609763971e+01
1.468956184169088221e-02 1.293908720009167386e-04 4.694989106753812425e-01 2.741451633104815405e-02 1.045118717264474562e+01
1.498335307852470197e-02 1.319786894409351037e-04 4.348290598290598385e-01 2.581793112190584535e-02 1.024626193396543528e+01
1.528302014009519545e-02 1.346182632297538350e-04 4.195338512763596150e-01 2.570952102436052308e-02 1.004535483722101574e+01
1.558868054289710113e-02 1.373106284943489020e-04 3.986175115207373221e-01 2.534357079534504953e-02 9.848387095314720341e+00
1.590045415375504131e-02 1.400568410642358372e-04 4.252061248527679860e-01 2.671681915486791986e-02 9.655281465994825396e+00
1.621846323683014124e-02 1.428579778855205832e-04 4.289883268482490020e-01 2.441971104198085302e-02 9.465962221563554380e+00
1.654283250156674337e-02 1.457151374432309602e-04 3.876811594202898559e-01 2.207484470684437788e-02 9.280355119179954926e+00
1.687368915159808552e-02 1.486294401920956406e-04 3.867562380038387926e-01 2.268740731571029443e-02 9.098387371745051411e+00
1.721116293463004557e-02 1.516020289959375713e-04 3.506126295947219473e-01 2.112620498046386894e-02 8.919987619357893749e+00
1.755538619332264530e-02 1.546340695758562902e-04 3.418891170431211379e-01 2.170308519489912158e-02 8.745085901331268730e+00
1.790649391718909800e-02 1.577267509673734242e-04 3.189568706118355301e-01 2.054157307988166425e-02 8.573613628756145744e+00
1.826462379553288329e-02 1.608812859867209111e-04 3.012575177692728423e-01 1.464008909597158507e-02 8.405503557604063758e+00
1.862991627144353762e-02 1.640989117064553396e-04 2.962962962962962798e-01 1.457122176987527690e-02 8.240689762356925741e+00
1.900251459687240727e-02 1.673808899405844551e-04 2.976054732041049089e-01 1.483805569277239604e-02 8.079107610153849706e+00
1.938256488880985701e-02 1.707285077393961095e-04 2.646190194920259864e-01 1.405924190386411560e-02 7.920693735444949368e+00
1.977021618658605581e-02 1.741430778941840799e-04 2.566844919786096524e-01 1.384429628948312223e-02 7.765386015142107468e+00
2.016562051031777630e-02 1.776259394520677008e-04 2.441860465116278966e-01 1.363568810509812636e-02 7.613123544256968245e+00
2.056893292052413419e-02 1.811784582411091128e-04 2.269503546099290725e-01 1.047449561268842984e-02 7.463846612016634907e+00
2.098031157893461701e-02 1.848020274059312539e-04 2.195121951219512202e-01 1.043169418010123778e-02 7.317496678447681369e+00
2.139991781051330672e-02 1.884980679540498817e-04 2.200509770603228665e-01 1.067941368338491681e-02 7.174016351419295390e+00
2.182791616672357521e-02 1.922680293131308847e-04 2.181818181818181712e-01 1.060107146778531059e-02 7.033349364136563864e+00
2.226447449005804907e-02 1.961133898993935171e-04 1.942201444963875812e-01 9.928379501079760347e-03 6.895440553075061985e+00
2.270976397985920853e-02 2.000356576973814113e-04 1.835488505747126520e-01 8.833530504780248011e-03 6.760235836348099880e+00
2.316395925945639173e-02 2.040363708513290254e-04 1.706974128233970656e-01 7.496437466001054477e-03 6.627682192498137503e+00
2.362723844464552012e-02 2.081170982683556243e-04 1.696709585121602415e-01 7.535499062156671493e-03 6.497727639704056202e+00
2.409978321353843309e-02 2.122794402337227178e-04 1.766124171187462288e-01 7.913874156120544873e-03 6.370321215396133496e+00
2.458177887780919890e-02 2.165250290383971933e-04 1.589727911953530970e-01 7.505121853182684238e-03 6.245412956270719462e+00
2.507341445536538302e-02 2.208555296191651459e-04 1.383724474245656699e-01 6.928893465360960041e-03 6.122953878696783647e+00
2.557488274447269200e-02 2.252726402115484282e-04 1.412242824485648862e-01 6.398195159248311337e-03 6.002895959506650669e+00
2.608638039936214334e-02 2.297780930157793588e-04 1.321585903083700442e-01 4.940905198796982124e-03 5.885192117163382974e+00
2.660810800734939030e-02 2.343736548760949894e-04 1.220901839492104790e-01 4.722413350243232812e-03 5.769796193297433540e+00
2.714027016749637894e-02 2.390611279736168588e-04 1.148521620235857105e-01 4.678031896104061643e-03 5.656662934605327209e+00
2.768307557084630569e-02 2.438423505330892908e-04 1.059351276742581116e-01 4.495941328755454977e-03 5.545747975103261673e+00
